ID,Name,StateID,PostCode,GPSCoordinates,UpperLeft,LowerRight,LastUpdated,Deleted
57,ADELONG,1,2729,"148.0636820,-35.3079470,0","148.0316672,-35.2897338","148.0956968,-35.3261561",15/4/2011 16:29:04,0
58,ADJUNGBILLY,1,2727,"148.4099200,-35.0814630,0","148.1538012,-34.9352366","148.6660388,-35.2274278",15/4/2011 16:29:04,0
59,ADVANCETOWN,2,4211,"153.2796250,-28.0330520,0","153.2155953,-27.9936492","153.3436547,-28.0724404",15/4/2011 16:29:04,0
60,ADVENTURE BAY,4,7150,"147.3261170,-43.3557940,0","147.2620873,-43.3233332","147.3901467,-43.3882374",15/4/2011 16:29:04,0
61,AEROGLEN,2,4870,"145.7467320,-16.8839380,0","145.7147172,-16.8625827","145.7787468,-16.9052908",15/4/2011 16:29:04,0
62,AFTERLEE,1,2474,"152.8257540,-28.5938760,0","152.7617243,-28.5546803","152.8897837,-28.6330571",15/4/2011 16:29:04,0
63,AGERY,3,5558,"137.7428050,-34.1568990,0","137.6147456,-34.0830005","137.8708644,-34.2307329",15/4/2011 16:29:04,0
64,AGNES,5,3962,"146.3961510,-38.6701490,0","146.3321213,-38.6352938","146.4601807,-38.7049872",15/4/2011 16:29:04,0
65,AGNES BANKS,1,2753,"150.7073720,-33.6188770,0","150.6753572,-33.6002916","150.7393868,-33.6374584",15/4/2011 16:29:04,0
66,AGNES WATER,2,4677,"151.9033520,-24.2125050,0","151.8393223,-24.1717928","151.9673817,-24.2532042",15/4/2011 16:29:04,0
67,AHERRENGE,8,0872,"135.2268420,-21.6589500,0","134.9707232,-21.4929315","135.4829608,-21.8247777",10/11/2011 13:02:48,0
68,AINSLIE,7,2602,"149.1458930,-35.2621530,0","149.1298856,-35.2530418","149.1619004,-35.2712632",15/4/2011 16:29:04,0
69,AIRDMILLAN,2,4807,"147.4436970,-19.5468610,0","147.3156376,-19.4627196","147.5717564,-19.6309585",15/4/2011 16:29:04,0
70,AIRDS,1,2560,"150.8290410,-34.0844680,0","150.8130336,-34.0752263","150.8450484,-34.0937087",15/4/2011 16:29:04,0
71,AIRE VALLEY,5,3237,"143.5689749,-38.6961078,0","143.5369601,-38.6786887","143.6009897,-38.7135227",15/4/2011 16:29:04,0
72,AIREYS INLET,5,3231,"144.1068920,-38.4594350,0","144.0428623,-38.4244775","144.1709217,-38.4943755",15/4/2011 16:29:04,0
73,AIRLIE BEACH,2,4802,"148.7162230,-20.2678690,0","148.7002156,-20.2574015","148.7322304,-20.2783358",15/4/2011 16:29:04,0
74,AIRLY,5,3851,"147.0843980,-38.0355480,0","147.0203683,-38.0003862","147.1484277,-38.0706930",15/4/2011 16:29:04,0
75,AIRPORT WEST,5,3042,"144.8870370,-37.7116980,0","144.8550222,-37.6940418","144.9190518,-37.7293500",15/4/2011 16:29:04,0
76,AIRVILLE,2,4807,"147.3372550,-19.6535420,0","147.2732253,-19.6115046","147.4012847,-19.6955684",15/4/2011 16:29:04,0
77,AITKENVALE,2,4814,"146.7643410,-19.2977140,0","146.7483336,-19.2871826","146.7803484,-19.3082447",15/4/2011 16:29:04,0
78,AITKENVALE BC,2,4814,"146.7622898,-19.2984162,0","146.7018998,-19.2404637","146.8226797,-19.3563687",15/4/2011 16:29:04,0
79,AJANA,6,6532,"114.6113200,-27.9486070,0","114.0990824,-27.6327359","115.1235576,-28.2635569",15/4/2011 16:29:04,0
80,AKAROA,4,7216,"148.3167110,-41.3045150,0","148.2846962,-41.2877488","148.3487258,-41.3212769",15/4/2011 16:29:04,0
81,AKOLELE,1,2546,"150.0768500,-36.3557980,0","150.0448352,-36.3378237","150.1088648,-36.3737681",15/4/2011 16:29:04,0
82,ALABAMA HILL,2,4820,"146.2493670,-20.0829150,0","146.2333596,-20.0724351","146.2653744,-20.0933942",15/4/2011 16:29:04,0
83,ALAWA,8,0810,"130.8770140,-12.3784510,0","130.8720560,-12.3775364","130.8806980,-12.3838316",10/11/2011 13:05:20,0
84,ALAWOONA,3,5311,"140.5087850,-34.7358910,0","140.2526662,-34.5890489","140.7649038,-34.8824726",15/4/2011 16:29:04,0
85,ALBACUTYA,5,3424,"142.0007830,-35.8243830,0","141.7446642,-35.6794981","142.2569018,-35.9690039",15/4/2011 16:29:04,0
86,ALBANVALE,5,3021,"144.7700270,-37.7459340,0","144.7540196,-37.7371105","144.7860344,-37.7547565",15/4/2011 16:29:04,0
87,ALBANY,6,6330,"117.8835430,-35.0238730,0","117.8675356,-35.0147351","117.8995504,-35.0330099",15/4/2011 16:29:04,0
88,ALBANY CREEK,2,4035,"152.9684030,-27.3455290,0","152.9363882,-27.3257050","153.0004178,-27.3653495",15/4/2011 16:29:04,0
89,ALBERT,1,2873,"147.5081110,-32.4158600,0","146.9958734,-32.1139383","148.0203486,-32.7167748",15/4/2011 16:29:04,0
90,ALBERT PARK,5,3206,"144.9557100,-37.8407050,0","144.9397026,-37.8318928","144.9717174,-37.8495162",15/4/2011 16:29:04,0
91,ALBERT PARK,3,5014,"138.5213480,-34.8783110,0","138.5053406,-34.8691568","138.5373554,-34.8874642",15/4/2011 16:29:04,0
92,ALBERTA,2,4702,"149.7825260,-24.3254750,0","149.5264072,-24.1626926","150.0386448,-24.4880486",15/4/2011 16:29:04,0
93,ALBERTON,5,3971,"146.6659800,-38.6113940,0","146.6019503,-38.5765103","146.7300097,-38.6462608",15/4/2011 16:29:04,0
94,ALBERTON,2,4207,"153.2700560,-27.7211170,0","153.2380412,-27.7013606","153.3020708,-27.7408698",15/4/2011 16:29:04,0
95,ALBERTON,3,5014,"138.5195300,-34.8592200,0","138.5035226,-34.8500637","138.5355374,-34.8683753",15/4/2011 16:29:04,0
96,ALBERTON,4,7263,"147.7893240,-41.2930870,0","147.7252943,-41.2595444","147.8533537,-41.3266123",15/4/2011 16:29:04,0
97,ALBERTON WEST,5,3971,"146.5879480,-38.5986860,0","146.5239183,-38.5637961","146.6519777,-38.6335590",15/4/2011 16:29:04,0
98,ALBION,5,3020,"144.8193950,-37.7759540,0","144.8033876,-37.7671341","144.8354024,-37.7847729",15/4/2011 16:29:04,0
99,ALBION,2,4010,"153.0452050,-27.4280260,0","153.0291976,-27.4181218","153.0612124,-27.4379293",15/4/2011 16:29:04,0
100,ALBION,2,4822,"142.6931700,-21.5090300,0","141.6686949,-20.8431441","143.7176451,-22.1718800",15/4/2011 16:29:04,0
101,ALBION BC,2,4010,"153.0427215,-27.4337648,0","153.0353622,-27.4236564","153.0500809,-27.4438731",15/4/2011 16:29:04,0
102,ALBION DC,2,4010,"153.0427215,-27.4337648,0","153.0353622,-27.4236564","153.0500809,-27.4438731",15/4/2011 16:29:04,0
103,ALBION HEIGHTS,4,7050,"147.3083930,-42.9768570,0","147.2443633,-42.9441943","147.3724227,-43.0095024",15/4/2011 16:29:04,0
104,ALBION PARK,1,2527,"150.7750310,-34.5707220,0","150.7430162,-34.5523444","150.8070458,-34.5890955",15/4/2011 16:29:04,0
105,ALBION PARK RAIL,1,2527,"150.7957500,-34.5608380,0","150.7637352,-34.5424582","150.8277648,-34.5792137",15/4/2011 16:29:04,0
106,ALBURY,1,2640,"146.9101740,-36.0821370,0","146.8781592,-36.0640997","146.9421888,-36.1001701",15/4/2011 16:29:04,0
107,ALCOMIE,4,7330,"145.1852290,-40.9348710,0","145.1532142,-40.9180101","145.2172438,-40.9517276",15/4/2011 16:29:04,0
108,ALDAVILLA,1,2440,"152.7681420,-31.0589490,0","152.7361272,-31.0398304","152.8001568,-31.0780638",15/4/2011 16:29:04,0
109,ALDERLEY,2,4051,"153.0005170,-27.4244220,0","152.9845096,-27.4145175","153.0165244,-27.4343256",15/4/2011 16:29:04,0
110,ALDERSHOT,2,4650,"152.6568810,-25.4665990,0","152.6248662,-25.4464496","152.6888958,-25.4867450",15/4/2011 16:29:04,0
111,ALDERSYDE,6,6306,"117.3058150,-32.3742250,0","117.0496962,-32.2233203","117.5619338,-32.5248782",15/4/2011 16:29:04,0
112,ALDGATE,3,5154,"138.7361850,-35.0151240,0","138.7041702,-34.9968452","138.7681998,-35.0333988",15/4/2011 16:29:04,0
113,ALDINGA,3,5173,"138.4831360,-35.2673260,0","138.4511212,-35.2491037","138.5151508,-35.2855442",15/4/2011 16:29:04,0
114,ALDINGA BEACH,3,5173,"138.4618030,-35.2788750,0","138.4457956,-35.2697657","138.4778104,-35.2879833",15/4/2011 16:29:04,0
115,ALDOGA,2,4694,"151.0713340,-23.8352920,0","150.9432746,-23.7536156","151.1993934,-23.9169170",15/4/2011 16:29:04,0
116,ALECTOWN,1,2870,"148.2234691,-32.9349388,0","147.9673503,-32.7849756","148.4795879,-33.0846481",15/4/2011 16:29:04,0
117,ALEXANDER HEIGHTS,6,6064,"115.8671340,-31.8276100,0","115.8511266,-31.8181293","115.8831414,-31.8370898",15/4/2011 16:29:04,0
118,ALEXANDRA,5,3714,"145.7110610,-37.1913070,0","145.6470313,-37.1557438","145.7750907,-37.2268534",15/4/2011 16:29:04,0
119,ALEXANDRA,2,4740,"149.0996090,-21.1644650,0","149.0675942,-21.1436528","149.1316238,-21.1852743",15/4/2011 16:29:04,0
120,ALEXANDRA BRIDGE,6,6288,"115.1995690,-34.1606210,0","115.1675542,-34.1421533","115.2315838,-34.1790847",15/4/2011 16:29:04,0
121,ALEXANDRA HEADLAND,2,4572,"153.1080360,-26.6706380,0","153.0920286,-26.6606668","153.1240434,-26.6806084",15/4/2011 16:29:04,0
122,ALEXANDRA HILLS,2,4161,"153.2204550,-27.5227740,0","153.1884402,-27.5029818","153.2524698,-27.5425626",15/4/2011 16:29:04,0
123,ALEXANDRIA,1,2015,"151.1955670,-33.8975710,0","151.1635522,-33.8790459","151.2275818,-33.9160921",15/4/2011 16:29:04,0
124,ALEXANDRIA,2,4825,"137.3306520,-19.1056820,0","136.7849270,-19.0376370","137.8712140,-19.1484880",15/4/2011 16:29:04,0
125,ALFORD,3,5555,"137.8212680,-33.8151800,0","137.6932086,-33.7409841","137.9493274,-33.8893116",15/4/2011 16:29:04,0
126,ALFORDS POINT,1,2234,"151.0247510,-33.9933030,0","151.0087436,-33.9840514","151.0407584,-34.0025536",15/4/2011 16:29:04,0
127,ALFRED COVE,6,6154,"115.8086060,-32.0342360,0","115.7925986,-32.0247765","115.8246134,-32.0436945",15/4/2011 16:29:04,0
128,ALFREDTON,5,3350,"143.8172250,-37.5569580,0","143.7852102,-37.5392650","143.8492398,-37.5746468",15/4/2011 16:29:04,0
129,ALFREDTOWN,1,2650,"147.5123820,-35.1614740,0","147.4483523,-35.1249777","147.5764117,-35.1979539",15/4/2011 16:29:04,0
130,ALGESTER,2,4115,"153.0335180,-27.6113030,0","153.0175106,-27.6014153","153.0495254,-27.6211898",15/4/2011 16:29:04,0
131,ALI CURUNG,8,0872,"134.4054700,-21.0025200,0","134.3977120,-20.9969080","134.4124130,-21.0085040",10/11/2011 13:02:48,0
132,ALICE,1,2460,"152.5874470,-29.0502380,0","152.5554322,-29.0307277","152.6194618,-29.0697447",15/4/2011 16:29:04,0
133,ALICE CREEK,2,4610,"151.6317010,-26.7600170,0","151.5676713,-26.7201581","151.6957307,-26.7998619",15/4/2011 16:29:04,0
134,ALICE RIVER,2,4817,"146.5997100,-19.3266100,0","146.5356803,-19.2844877","146.6637397,-19.3687214",15/4/2011 16:29:04,0
135,ALICE SPRINGS,8,0870,"133.8808890,-23.7003580,0","133.8648816,-23.6901407","133.8968964,-23.7105745",10/11/2011 13:04:13,0
137,ALISON,1,2259,"151.4038580,-33.2659980,0","151.3878506,-33.2566679","151.4198654,-33.2753271",15/4/2011 16:29:04,0
138,ALISON,1,2420,"151.7719340,-32.4348010,0","151.7079043,-32.3971237","151.8359637,-32.4724626",15/4/2011 16:29:04,0
139,ALKIMOS,6,6038,"115.6805858,-31.6145522,0","115.6569108,-31.5971394","115.7042607,-31.6319651",15/4/2011 16:29:04,0
140,ALLAMBEE,5,3823,"146.0340590,-38.2632130,0","146.0020442,-38.2456890","146.0660738,-38.2807328",15/4/2011 16:29:04,0
141,ALLAMBEE RESERVE,5,3871,"146.0548940,-38.2852620,0","145.9908643,-38.2502203","146.1189237,-38.3202868",15/4/2011 16:29:04,0
142,ALLAMBEE SOUTH,5,3871,"146.0995850,-38.3437350,0","146.0675702,-38.3262304","146.1315998,-38.3612354",15/4/2011 16:29:04,0
143,ALLAMBIE HEIGHTS,1,2100,"151.2488640,-33.7650760,0","151.2328566,-33.7557996","151.2648714,-33.7743514",15/4/2011 16:29:04,0
144,ALLAN,2,4370,"151.9495330,-28.1955680,0","151.9175182,-28.1758982","151.9815478,-28.2152342",15/4/2011 16:29:04,0
145,ALLANDALE,1,2320,"151.4235300,-32.7106870,0","151.3915152,-32.6919081","151.4555448,-32.7294619",15/4/2011 16:29:04,0
146,ALLANDALE,2,4310,"152.7142130,-27.9973350,0","152.6501833,-27.9579191","152.7782427,-28.0367364",15/4/2011 16:29:04,0
147,ALLANOOKA,6,6525,"115.0290780,-29.0472620,0","114.7729592,-28.8910716","115.2851968,-29.2032163",15/4/2011 16:29:04,0
148,ALLANS FLAT,5,3691,"146.9098230,-36.2761140,0","146.8457933,-36.2401245","146.9738527,-36.3120869",15/4/2011 16:29:04,0
149,ALLANSFORD,5,3277,"142.5906740,-38.3864740,0","142.4626146,-38.3164715","142.7187334,-38.4564088",15/4/2011 16:29:04,0
150,ALLANSON,6,6225,"116.0980610,-33.3375290,0","116.0660462,-33.3188832","116.1300758,-33.3561708",15/4/2011 16:29:04,0
151,ALLAWAH,1,2218,"151.1145170,-33.9700180,0","151.0985096,-33.9607638","151.1305244,-33.9792712",15/4/2011 16:29:04,0
152,ALLEENA,1,2671,"147.1409660,-34.1094590,0","146.8848472,-33.9615147","147.3970848,-34.2571451",15/4/2011 16:29:04,0
153,ALLENBY GARDENS,3,5009,"138.5551480,-34.9043340,0","138.5391406,-34.8951827","138.5711554,-34.9134843",15/4/2011 16:29:04,0
154,ALLENDALE,5,3364,"143.9385480,-37.3687110,0","143.9065332,-37.3509734","143.9705628,-37.3864444",15/4/2011 16:29:04,0
155,ALLENDALE EAST,3,5291,"140.7089400,-38.0033690,0","140.6449103,-37.9681917","140.7729697,-38.0385294",15/4/2011 16:29:04,0
156,ALLENDALE NORTH,3,5373,"138.9176580,-34.3039830,0","138.8536283,-34.2671063","138.9816877,-34.3408435",15/4/2011 16:29:04,0
157,ALLENS RIVULET,4,7150,"147.2040630,-43.0106800,0","147.1720482,-42.9943598","147.2360778,-43.0269959",15/4/2011 16:29:04,0
158,ALLENSTOWN,2,4700,"150.5028670,-23.3889390,0","150.4868596,-23.3786975","150.5188744,-23.3991798",15/4/2011 16:29:04,0
159,ALLENVIEW,2,4285,"152.9390810,-27.9012570,0","152.8750513,-27.8618061","153.0031107,-27.9406935",15/4/2011 16:29:04,0
160,ALLESTREE,5,3305,"141.6460780,-38.2748550,0","141.6140632,-38.2573338","141.6780928,-38.2923720",15/4/2011 16:29:04,0
161,ALLGOMERA,1,2441,"152.8313690,-30.8160970,0","152.7673393,-30.7777587","152.8953987,-30.8544200",15/4/2011 16:29:04,0
162,ALLIGATOR CREEK,2,4740,"149.2110590,-21.3239340,0","149.1470293,-21.2823517","149.2750887,-21.3655045",15/4/2011 16:29:04,0
163,ALLIGATOR CREEK,2,4816,"146.9471980,-19.4249150,0","146.8191386,-19.3407104","147.0752574,-19.5090760",15/4/2011 16:29:04,0
164,ALLINGHAM,2,4850,"146.2988690,-18.7113470,0","146.2348393,-18.6690687","146.3628987,-18.7536147",15/4/2011 16:29:04,0
165,ALLORA,2,4362,"151.9827230,-28.0358480,0","151.9186933,-27.9964462","152.0467527,-28.0752353",15/4/2011 16:29:04,0
166,ALLOWAY,2,4670,"152.3621400,-24.9523760,0","152.2981103,-24.9119034","152.4261697,-24.9928353",15/4/2011 16:29:04,0
167,ALLWORTH,1,2425,"151.9609270,-32.5416880,0","151.9289122,-32.5228737","151.9929418,-32.5604984",15/4/2011 16:29:04,0
168,ALLYNBROOK,1,2311,"151.5362290,-32.3633430,0","151.4721993,-32.3256358","151.6002587,-32.4010344",15/4/2011 16:29:04,0
169,ALMA,5,3465,"143.6768190,-37.0288050,0","143.6448042,-37.0109873","143.7088338,-37.0466185",15/4/2011 16:29:04,0
170,ALMA,3,5401,"138.6308640,-34.2666190,0","138.5668343,-34.2297259","138.6948937,-34.3034959",15/4/2011 16:29:04,0
171,ALMA,6,6535,"114.6935750,-28.2333750,0","114.4374562,-28.0759712","114.9496938,-28.3905470",15/4/2011 16:29:04,0
172,ALMA PARK,1,2659,"146.7916930,-35.6041290,0","146.7276633,-35.5678324","146.8557227,-35.6404092",15/4/2011 16:29:04,0
173,ALMADEN,2,4871,"144.6781340,-17.3400630,0","144.1658964,-16.9989199","145.1903716,-17.6805731",15/4/2011 16:29:04,0
174,ALMONDS,5,3727,"146.0584482,-36.2308901,0","146.0264334,-36.2128870","146.0904630,-36.2488890",15/4/2011 16:29:04,0
175,ALMURTA,5,3979,"145.5584150,-38.4348650,0","145.4943853,-38.3998956","145.6224447,-38.4698174",15/4/2011 16:29:04,0
176,ALONNAH,4,7150,"147.2421830,-43.3214760,0","147.1781533,-43.2889969","147.3062127,-43.3539378",15/4/2011 16:29:04,0
177,ALOOMBA,2,4871,"145.8348630,-17.1162600,0","145.7068036,-17.0309301","145.9629224,-17.2015508",15/4/2011 16:29:04,0
178,ALPHA,2,4724,"146.6410740,-23.6496560,0","146.1288364,-23.3221801","147.1533116,-23.9763142",15/4/2011 16:29:04,0
179,ALPHINGTON,5,3078,"145.0311600,-37.7807670,0","145.0151526,-37.7719476","145.0471674,-37.7895853",15/4/2011 16:29:04,0
180,ALPINE,1,2575,"150.5239570,-34.4095170,0","150.4919422,-34.3911039","150.5559718,-34.4279261",15/4/2011 16:29:04,0
181,ALPURRURULAM,8,4825,"137.8507490,-20.9841140,0","137.8187342,-20.9632766","137.8827638,-21.0049485",15/4/2011 16:29:04,0
182,ALSACE,2,4702,"149.3505070,-23.2758880,0","149.0943882,-23.1117893","149.6066258,-23.4397848",15/4/2011 16:29:04,0
183,ALSTONVALE,1,2477,"153.4454770,-28.8056070,0","153.4134622,-28.7860506","153.4774918,-28.8251598",15/4/2011 16:29:04,0
184,ALSTONVILLE,1,2477,"153.4403600,-28.8421250,0","153.3763303,-28.8030222","153.5043897,-28.8812131",15/4/2011 16:29:04,0
185,ALTON DOWNS,2,4702,"150.3880350,-23.3071820,0","150.2599756,-23.2251771","150.5160944,-23.3891364",15/4/2011 16:29:04,0
186,ALTONA,5,3018,"144.8302860,-37.8692750,0","144.7982712,-37.8516564","144.8623008,-37.8868894",15/4/2011 16:29:04,0
187,ALTONA,3,5351,"138.9136200,-34.5971670,0","138.8816052,-34.5787952","138.9456348,-34.6155347",15/4/2011 16:29:04,0
188,ALTONA EAST,5,3025,"144.8263871,-37.8360907,0","144.7851531,-37.8174159","144.8676212,-37.8547656",15/4/2011 16:29:04,0
189,ALTONA GATE,5,3025,"144.8287190,-37.8257866,0","144.8159400,-37.8238729","144.8436380,-37.8301681",15/4/2011 16:29:04,0
190,ALTONA MEADOWS,5,3028,"144.7780840,-37.8716320,0","144.7460692,-37.8540139","144.8100988,-37.8892459",15/4/2011 16:29:04,0
191,ALTONA NORTH,5,3025,"144.8476770,-37.8347080,0","144.8156622,-37.8170811","144.8796918,-37.8523307",15/4/2011 16:29:04,0
192,ALUMY CREEK,1,2460,"152.9514480,-29.6409200,0","152.9194332,-29.6215224","152.9834628,-29.6603139",15/4/2011 16:29:04,0
193,ALVA,2,4807,"147.4817270,-19.4575020,0","146.9694894,-19.1204905","147.9939646,-19.7938147",15/4/2011 16:29:04,0
