ID,Description,code,Unit,Deleted,enabled,kgperunit
76,Core/Block Fill - Sand/Metal mix for filling block,Core/Block Fill Mix - 124464,Tonne,0,1,1000
77,Corefill 500 kg in a Bulka Bag,Corefill 500 kg BB - 124541,Number,0,1,500
80,Cross Junction Joiner for Draincoil/Flexipipe 100m,Cross Joiner 100 mm - 124520,Number,0,1,1
81,Draincoil - with Filter Sock - 65mm x 10m,D/Coil w/sock  65x10m- 124614,Number,0,1,1
82,Draincoil - with Filter Sock - 65mm x 20m,D/Coil w/sock  65x20m - 124615,Number,0,1,1
83,Draincoil with sock 100mm x 10m Roll,D/coil w/sock 100x10m - 124518,Number,0,1,1
84,Draincoil with sock 100mm x 20m Roll,D/coil w/sock 100x20m - 124519,Number,0,1,1
85,"Door Frame 820mm x 2065mm 3 Hinged, 2 Strikers to",L/H Door Frame 3 Hinge- 124504,Number,0,1,1
86,"Door Frame 820mm x 2065mm 3 Hinged, 2 Strikers to",R/H Door Frame 3 Hing - 124490,Number,0,1,1
87,Drainage Agg+20-50 Recycled Concrete,Drainage Agg 20-50  -  124597,Tonne,0,1,1000
88,Recycled Drainage Agg +20-50mm in a Bulka Bag,Drainage Agg 20-50 BB - 124714,Number,0,1,1000
89,Brick & Concrete Dockets,DUN-BRC/CON,Number,0,1,1
90,Eco Dust - Recycled Brick and Concrete,Eco Dust - 124512,Tonne,0,1,1000
91,Eco Dust in Bulka Bag,Eco Dust BB - 124813,Number,0,1,1000
92,EcoSYN Lime 600gram - This repalces a 20kg bag of,Ecosyn Lime - 124742,Number,0,1,1
93,EcoSYN Lime - 2.4kg This replaces 4 x 20kg bags of,EcoSYN Lime 2.4 kg -124743,Number,0,1,1
94,Efflock - 1 litre - makes 101 litres - Prevents Ef,Efflock 1 Litre - 124526,Number,0,1,1
95,Efflock 20 Litre - Makes 2020 Litres - Prevents Ef,Efflock 20L - 124528,Number,0,1,1
96,Efflock 5 litre - Makes 505 litres - Prevents Effl,Efflock 5 Litre - 124527,Number,0,1,1
97,End Cap for 100mm Draincoil,End Cap 100mm - 124522,Number,0,1,1
98,20/14 ENVIRO AGG IN A BULKA BAG,124686,Number,0,1,1000
99,Expansion Tie GAL (20),Expansion Tie Gal  - 124040,Number,0,1,1
100,Expansion Ties S/STEEL (20),Expansion Ties S/S - 124041,Number,0,1,1
101,SAND Fill - A washed sand suitable for use aroun,Fill Sand - 124466,Tonne,0,1,1000
102,SAND Fill Tonne in a Bulka Bag,Fill Sand BB - 124496,Number,0,1,1000
103,Filled Hessian Sand Bag,Filled Hessian S/Bag - 124846,Number,0,1,1
104,.800mm 85mm X 7mm Hot Dipped Galvanised Flat Bar,FlatB - .800mm - 124403,Number,0,1,1
105,.900mm 85mm X 7mm Ht Dipped Galvanised Flat Bar,FlatB .900mm - 124404,Number,0,1,1
106,1000mm 85mm X 7mm Flat Bar,FlatB 1000 - 124405,Number,0,1,1
107,1100mm 85mm x 7mm Hote Dipped Galvanised Flat Bar,FlatB 1100mm - 124406,Number,0,1,1
108,1200mm 85mm X 7mm Hot Dipped Galvanised Flat Bar,FlatB 1200mm 124407,Number,0,1,1
109,1300 Galvanised Flat Bar 75 x 10,FlatB 1300 - 124751,Number,0,1,1
110,Foamjoint 100mm X 10mm X 25m Roll,Foamjoint 100mm - 124135,Number,0,1,1
111,Foamjoint 125mm x 10mm x 25m Roll,Foamjoint 125mm - 124136,Number,0,1,1
112,Foamjoint 150mm x 10mm x 25m Roll,Foamjoint 150mm - 124137,Number,0,1,1
113,Foamjoint 200mm x10mm x 25m Roll,Foamjoint 200mm - 124138,Number,0,1,1
114,Foamjoint 250mm x 10mm x 25m Roll,Foamjoint 250mm - 124139,Number,0,1,1
115,Foamjoint 300mm x 10mm x 25m Roll,Foamjoint 300mm - 124140,Number,0,1,1
116,Foamjoint 50mm x 10mm x 25m Roll,Foamjoint 50mm - 124133,Number,0,1,1
117,Foamjoint 75mm x 10mm x 25m Roll,Foamjoint 75mm - 124134,Number,0,1,1
118,Foil Fasteners (Box 500),Foil Fasteners - 124815,Number,0,1,1
119,Frame Ties Stainless Steel (box 150),Frame Ties Stainless - 124834,Number,0,1,1
121,Geotextile Fabric - 1m x 50m Roll,Geo Fab 1M - 124575,Number,0,1,1
122,Geotextile- Filtration Fabric - 2m x 50m Roll,Geo Fab 2m  - 124717,Number,0,1,1
123,Geotube - Geotextile Silttube 230mm x 50m (250gsm),Geotube -  124753,Number,0,1,1
125,20.48 H Block 190mm x 190mm x 390mm,H Block 20.48  - 124448,Number,0,1,10.8
126,30.48 - H Block -  290mm x 190mm x 390mm,H Block 30.48 - 124516,Number,0,1,14
128,20.03 Half Block 190mm x 190mm x 190mm,Half Block 20.03 - 124446,Number,0,1,7.15
129,20.93 Half End Block 190mm x 190mm x 190mm,Half End Block 20.93 - 124450,Number,0,1,4.7
130,30.93 - Half End Block,Half End Block 30.93 - 124540,Number,0,1,8.7
131,20.71 - Half High Block 190x 390x 90,Half High Block 20.71 - 124589,Number,0,1,6.5
132,Hessian Sandbag 838mm x 357mm 10oz,Hessian Sand Bag - 124787,Number,0,1,1
133,Perforated Hoopiron 30m x 25mm x .6mm,Hoopiron 30m - 124037,Number,0,1,1
134,Hoopiron Strap  - 1800mm x 25 x 1.2mm,Hoopiron Strap - 124467,Number,0,1,1
135,KCB Clay 25kg - Renderers Clay,KCB Clay 25kg - 124699,Number,0,1,25
136,Kikuyu Turf,Kikuyu Turf - 124789,Number,0,1,1
137,"Landscape Mix AS4419 - 1 cubic metre - A friable,",Landscape Mix- 124530,Number,0,1,850
138,Landscape Mix (1 metre) in a Bulka Bag,Landscape Mix BB- 124662,Number,0,1,800
141,Pallet - Loscam Cement PLEASE ENSURE EMPTY PALLET,Losc Pallet - 124740,Number,0,1,1
142,MET 3-3 Vertical Expansion Joint Ties,MET 3-3 Expansion Tie - 124810,Number,0,1,1
143,MET 4-3 Head Restraint Tie Stainless Steel  (Each),MET 4-3 Stainless - 124811,Number,0,1,1
144,MET 5-10 x 10mm Offset Column Expansion Ties - box,MET 5-10 Expansion  -124809,Number,0,1,1
145,MET 5-3 Gal Masonry Ties ( BAG of 50),MET 5-3 Gal - 124790,Number,0,1,1
146,MET 5-9 Gal Masonry Expansion Ties 40mm offset (Ba,MET 5-9 Gal Expansion - 124791,Number,0,1,1
147,"Metal - 10mm Non Spec for Concreting, drainage",Metal Non Spec 10mm  124480,Tonne,0,1,1000
148,Metal -10mm Non Spec Blue Metal in Bulka Bag,Metal 10mm Non/S BB - 124479,Number,0,1,1
149,Metal - 20mm Non Spec Blue Metal,Metal 20mm  - 124510,Tonne,0,1,1000
150,Metal 20mm 500kg in a Bulka Bag,Metal 20mm 500kg BB - 124858,Number,0,1,500
151,METAL 20mm in a Bulka Bag,Metal 20mm BB -124583,Number,0,1,1000
152,Metal 5mm Blue Metal,Metal 5mm - 124608,Tonne,0,1,1000
153,7mm Drainage Metal,Metal 7mm - 124817,Number,0,1,1000
154,Metal Dust for under slabs etc - 124517,Ramp Material (Metal Dust),Tonne,0,1,1000
155,Metal Dust in Bulka Bag,Metal Dust BB - 124663,Number,0,1,1000
156,Miscellaneous Item - NON STOCK ITEM,Miscellaneous NonStock - 12457,Number,0,1,1
157,Mortar Larry Hoe,Mortar Larr Hoe - 124577,Number,0,1,1
158,Sand Maroota White Bricklayers 500kg in a Bulka Ba,MWB Sand 500kg BB - 124856,Number,0,1,500
159,SAND Maroota White Bricklayers  Sand in a Bulka,MWB Sand BB- 124476,Number,0,1,1000
160,SAND Maroota White Bricklayers,MWB Sand-124475,Tonne,0,1,1000
161,SAND Newcastle Is a fine sand suitable for rende,New Sand -124465,Tonne,0,1,1000
162,20kg Bag Newcastle Sand,New Sand 20kg Bag - 20KGN,Number,0,1,20
163,SAND - Newcastle  Sand  500kg in a bulka bag,New Sand 500kg BB - 124587,Number,0,1,500
164,Sand Newcastle 750kg in a Bulka Bag,New Sand 750kg BB - 124854,Number,0,1,750
165,SAND Newcastle In a Bulka Bag,New Sand BB -124472,Number,0,1,1000
166,Non Spec 75mm-150mm Gabion Stone,Non Spec Gabian Stone - 124647,Tonne,0,1,1000
168,20.49 Opened End Small Block 190mm x 190mm x 390mm,Open End Block 20.49 -124449,Number,0,1,13.9
169,Black 318 Oxide 25kg,Oxide Balck 25k - 124766,Number,0,1,25
170,Black 318 Oxide 1.5kg,Oxide Black  1.5kg - 124757,Number,0,1,1.5
171,Black 318 Oxide 2.5kg,Oxide Black  2.5kg - 124758,Number,0,1,2.5
172,Brown 686 Oxide 1.5kg,Oxide Brown 1.5kg - 124759,Number,0,1,1.5
173,Brown 686 Oxide 2.5kg,Oxide Brown 2.5kg - 124760,Number,0,1,2.5
174,Red 222 Oxide 2kg,Oxide Red 2kg - 124761,Number,0,1,2
175,Red 222 Oxide 3kg,Oxide Red 3kg - 124762,Number,0,1,3
176,Yellow 960 Oxide 1.5kg,Oxide Yellow 1.5 kg  124764,Number,0,1,1
177,Yellow 960 Oxide 1kg,Oxide Yellow 1kg - 124763,Number,0,1,1
178,Yellow 420 Oxide 1kg,Oxide Yellow 1kg - 124765,Number,0,1,1
179,Pallet,Pallet - 124442,Number,0,1,1
182,Black Plastic 2m X 100um X 10m Roll,Plastic Black 2x10m - 124061,Number,0,1,1
183,Black Plastic 2m X 100um X 20m Roll,Plastic Black 2x20m - 124062,Number,0,1,1
184,Black Plastic 2m X 200um X 50m Roll,Plastic Black 2x50m - 124063,Number,0,1,1
185,Black Plastic 4m X 200um X 50m Roll,Plastic Black 4x50m - 124064,Number,0,1,1
186,Orange Plastic 2m X 200um X 10M Roll,Plastic Orange 2x10m - 124066,Number,0,1,1
187,Orange Plastic 2m X 200um X 20m Roll,Plastic Orange 2x20m - 124067,Number,0,1,1
188,Orange Plastic 2m X 200um X 50m Roll,Plastic Orange 2x50m - 124068,Number,0,1,1
189,Orange Plastic 2m X 200um X 5M Roll,Plastic Orange 2x5m - 124065,Number,0,1,1
190,Orange Plastic 4m X 200um X 50m Roll,Plastic Orange 4x50m - 124069,Number,0,1,1
191,Polyproof (Snakeskin) 110mm x 10m 500um Embossed P,Polyproof 11010 - 124106,Number,0,1,1
192,Polyproof (Snakeskin) 110mm x 30m 500um Embossed P,Polyproof 11030 - 124107,Number,0,1,1
193,Polyproof (Snakeskin) 150mm x 30m 500um Embossed P,Polyproof 15030 - 124109,Number,0,1,1
194,Polyproof (Snakeskin) 230mm x 30m 500um Embossed P,Polyproof 23030 - 124111,Number,0,1,1
195,Polyproof (Snakeskin) 300mm  x 10m 500um Embossed,Polyproof 30010 - 124112,Number,0,1,1
196,Polyproof (Snakeskin) 300mm  x 30m  500um Embossed,Polyproof 30030 - 124113,Number,0,1,1
197,Polyproof (Snakeskin) 350mm  x 10m  500um  Embosse,Polyproof 35010 - 124114,Number,0,1,1
198,Polyproof (snakeskin) 350mm x 30m 500um Emobssed P,Polyproof 35030 - 124115,Number,0,1,1
199,10.34 Quarter Block,Quarter Block 10.34 - 124685,Number,0,1,2.7
200,Quickset Concrete Mix 20kg,Quickset Concrete Mix - 124712,Number,0,1,20
201,Rail Ballast 63mm,Rail Ballast 63mm - 124683,Tonne,0,1,1000
202,Recycled Concrete 20mm,Recycled 20mm- 124599,Tonne,0,1,1000
203,Recycled Concrete 20mm -500kg in Bulka Bag,Recycled 20mm 500kg BB- 124653,Number,0,1,500
204,10/20 Recycled Concrete 500kg in a Bulka Bag,Recycled Agg 10-20 mm - 124855,Number,0,1,500
205,20/60mm Recycled Aggregate,Recycled Agg 20-60 mm - 124812,Tonne,0,1,1000
206,RDGB20 - Recycled,Recycled DGB20 - 124636,Tonne,0,1,1000
209,SAND Coarse River used for paving,River Sand - 124477,Tonne,0,1,1000
210,SAND Coarse River in a Bulka Bag,River Sand BB - 124478,Number,0,1,1000
211,Road Base 20mm Recycled Concrete,Road Base  - 124523,Tonne,0,1,1000
212,Road Base - (20mm Scalpings),Road Base - 124610,Tonne,0,1,1000
213,Road Base - (20mm Scalpings)  Non Spec in a Bulka,Road Base BB - 124668,Number,0,1,1000
214,Sand and Cement Mix 20kg Bag,Sand/Cement Mix 20 kg - 124853,Number,0,1,1
215,20/50 Coble Brickand Concrete,SCE 20-50 Cobble,Tonne,0,1,1000
216,SCE Diggings 10.00,SCE Diggings,Number,0,1,1
217,SCE GSW MIXED  CTI $20.00,SCE GSW MIXED  $20.00,Number,0,1,1
218,Minimum $30 Transaction Drainage AGG/Enviro Dust,SCE-$30- AGG/DUST,Number,0,1,1
219,Minimum $30 Transaction 20MM Enviroagg,SCE-$30-20MMEnviro,Number,0,1,1
220,Minimum $30 Transaction Brick/Concrete Dockets,SCE-$30-BRC/CON,Number,0,1,1
221,Minimum $30 Transaction Diggings Dockets:,SCE-$30-DIG,Number,0,1,1
222,20/14 ENVIRO AGGREGATE,126082,Tonne,0,1,1000
223,Brick/Concrete Dockets:,SCE-BRC/CONC,Number,0,1,1
224,Digging Dockets:,SCE-DIG,Number,0,1,1
225,Drainage AGG (Driveway Material) Dockets,SCE-DrainAgg,Number,0,1,1
226,Mixed Waste Dockets:,SCE-MXDWSTE,Number,0,1,1
227,Siltfence - Lightweight 750mm x 50m,Silt Fence - 124768,Number,0,1,1
228,Sir Walter Buffalo Turf,Sir Walter Buffalo  - 124788,Number,0,1,1
229,Soilco Timber/Green Waste,Soilco-Tim,Tonne,0,1,1000
230,20.01 Standard Block 190mm x 190mm x 390mm,Stand Block 20.01 - 124445,Number,0,1,11.6
232,Star Post 1650mm (5 foot x6 inch),Star Posts - 124072,Number,0,1,1
233,Stickyback Foam 75mm x 10mm x 25m Roll,Stickyback 75mm - 124142,Number,0,1,1
234,Stickyback Foam 100mm x 10mm x 25m Roll,Stickyback Foam 100mm - 124143,Number,0,1,1
235,Stickyback Foam 150mm x 10mm x 25m Roll,Stickyback Foam 150mm - 124145,Number,0,1,1
236,Stickyback Foam 200mm x 10MM x 25m Roll,Stickyback Foam 200mm - 124146,Number,0,1,1
237,Sticklyback Foam  300mm x 10mm x 25m Roll,Stickyback Foam 300mm - 124147,Number,0,1,1
238,20.91 Stretcher Block 190 x 390 x 190mm,Stretcher Block 20.91 - 124684,Number,0,1,10.4
239,Stubby Ties Z950 Galvanised With Nails,Stubby Ties Gal Nails - 124033,Number,0,1,1
240,STUBBY TIES 316 STAINLESS STEEL WITH S/S NAILS,Stubby Ties S/S   - 124034,Number,0,1,1
241,5.700mm Long x 200mm x 10(v) + 200mm x 10(h) T Bar,TBar 5.700mm - 124658,Number,0,1,1
247,3.000mm Long 200mm x 7mm + 200mm X 7mm Multi Rib T,TBar Multi Rib 3.000 -  124428,Number,0,1,1
248,3.300mm Long 200mm x 7mm + 200mm x 7mm Multi Rib T,TBar Multi Rib 3.300 - 124429,Number,0,1,1
249,3.600mm Long 200mm + 200mm x  9mm Multi Rib T Bar,TBar Multi Rib 3.600 - 124430,Number,0,1,1
250,3.900mm Long 200mm + 200mm x 9mm Multi Rib T Bar,TBar Multi Rib 3.900 - 124431,Number,0,1,1
251,4.200mm Long 200mm x 9mm + 200mm X 9mm Multi Rib T,TBar Multi Rib 4.200 - 124432,Number,0,1,1
252,4.500mm Long x 200mm x 200mm x 9mm Multi Rib T Bar,TBar Multi Rib 4.500 - 124433,Number,0,1,1
253,4.800mm Long 200mm x  9mm + 200mm X 9mm Multi Rib,TBar Multi Rib 4.800 - 124434,Number,0,1,1
254,5.100mm Long x 200mm x 200mm x 9mm Multi Rib T Bar,TBar Multi Rib 5.100 - 124435,Number,0,1,1
255,5.400mm Long 200mm X 200mm X 9mm Multi Rib T Bar,TBar Multi Rib 5.400 - 124436,Number,0,1,1
256,5.700mm Long x 200mm x 200mm x 9mm Multi Rib T Bar,TBar Multi Rib 5.700 - 124437,Number,0,1,1
257,6.000mm Long x 200mm x 200mm x 9mm Multi Rib T Bar,TBar Multi Rib 6.00 - 124438,Number,0,1,1
258,6.300mm Long 200mm x 200mm x 9mm Multi Rib T Bar,TBar Multi Rib 6.300 - 124492,Number,0,1,1
259,2.400mm Long x 200mm x 200mm x 7mm Multi Rib T Bar,TBar Mutli Rib 2.400 - 124426,Number,0,1,1
260,3.300mm x 200mm x 8mm +  200mm x 6mm Traditional T,TBar Traditional 3.300 - 12447,Number,0,1,1
261,5.400mm Long x 250mm x 12mm (v) + 200mm x 10mm (b),TBar Traditional 5.400 - 12483,Number,0,1,1
262,Tilers Mesh - 2400 X 700 = 1.68M2 (Expanded Mesh),Tilers Mesh  - 124545,Number,0,1,1
263,Turf Mix -  (tonne) Special sandy loam and compost,Turf Mix- 124529,Tonne,0,1,1000
264,Turf Mix - 1 Tonne in a bulka bag,Turf Mix 1T BB - 124642,Number,0,1,1000
265,Turf Mix - 500kg in a bulka bag,Turf Mix 500kg BB - 124651,Number,0,1,500
266,Universal Common Brick  (400 on pallet),Universal Common Brick - 12471,Number,0,1,1
267,Veneer Ties Side Fix - Z950 Galvanised Medium Duty,Veneer Ties Gal Nails - 124031,Number,0,1,1
268,Veneer Ties Side Fix - 316 Stainless Steel with S/,Veneer Ties S/S  - 124032,Number,0,1,1
269,VENT - Brass Wire - 230 x 75mm (9 x 3),Vent Brass 230 x 75 - 124678,Number,0,1,1
270,Vent - Brass Wire (230mm x 160mm),Vent Brass 230x160124804,Number,0,1,1
271,Vent - Brass Wire (455mm x 160mm),Vent Brass 455x160 - 124803,Number,0,1,1
272,Vent - Spark Arresting Brick Vent - S/steel Mesh 2,Vent Spark Arrest S/S- 124619,Number,0,1,1
273,Vermin Wire 150mm x 12.5 x 50m (6 inch X 1/2 inch,Vermin Wire - 124071,Number,0,1,1
275,Wire Wall Ties 175mm Medium Duty (RED WIRE),Wall Ties 175 Med Duty -124026,Number,0,0,1
276,Wire Wall Ties 175MM Heavy Duty (RED WIRE),Wall Ties H/Duty 300mm- 124028,Number,0,1,1
277,Wire Wall Ties 300mm Stainless Steel  Medium Duty,Wall Ties Med S/S - 124030,Number,0,1,1
278,Wire Wall Ties 300mm Medium Duty (RED WIRE),Wall Ties Medium Duty - 124026,Number,0,1,1
279,Wire Wall Ties 175MM Stainless Steel Medium Duty,Walls Ties S/S 175mm - 124029,Number,0,0,1
280,SAND White Bricklayers 500kg in Bulka Bag,SAND WB 500 kg in BB  - 124543,Number,0,1,500
281,SAND White Bricklayers,WB Sand- 124444,Tonne,0,1,1000
282,20Kg Bag of White Bricklayers Sand,WB Sand 20kg Bag - 124644,Number,0,1,20
283,SAND White Bricklayers in a Bulka Bag,WB Sand BB - 124471,Number,0,1,1000
284,Weepa - Bushfire S/Steel Grate Suitable for face b,Weepa Bushfire - 124463,Number,0,1,1
285,90mm Weepa Extension (use with 70mm weepas for 150,Weepa Extension 90mm -124718,Number,0,1,1
286,"Weepa - Standard  Adjustable for face brick, rende",Weepa Stand - 124462,Number,0,1,1
287,Y Joiner for 100mm Draincoil,Y Joiner 100 mm - 124521,Number,0,1,1
288,SAND Yellow Brickies Sand suitable for under abo,YB Sand - 124514,Tonne,0,1,1000
289,SAND Yellow Brickies in a Bulka Bag,YB Sand BB - 124515,Number,0,1,1000
290,1st Clean - (300 sqm - 400 sqm),BORA-1-300-400,Number,0,0,1
291,1st Clean - (400 sqm - 500 sqm),BORA-1-400-500,Number,0,1,1
292,1st Clean - (500 sqm - 600 sqm),BORA-1-500-600,Number,0,1,1
293,1st Clean - (Up to 300 sqm),BORA-1-300,Number,0,0,1
294,1st Clean - Double Storey,BUR-DOUB-1-OLD,Number,0,1,1
295,1st Clean - Double Storey,Edge-old-Double-1,Number,0,1,1
296,1st Clean - Double Storey,GJWG-old-Double-1,Number,0,1,1
297,1st Clean - Double Storey,Wisdom-OId-Double-1,Number,0,1,1
298,1st Clean - Double Storey (up to 400sqm),Barrington-Double-1,Number,0,0,1
299,1st Clean - Single Storey - Over 300 sqm,ELM-OLD-S-OVER300-1,Number,0,1,1
300,1st Clean - Single Storey,Edge-old-Single-1,Number,0,1,1
301,1st Clean - Single Storey,GJWG-old-Single-1,Number,0,1,1
302,1st Clean - Single Storey,Wisdom-Old-Single-1,Number,0,1,1
303,1st Clean - Single Storey up to 300 sqm,Barrington-Single-upto300-1,Number,0,0,1
304,1st Clean - Under 280 sqm,NEWEDGE-UND280-1,Number,0,1,1
305,1st Clean - Single Storey - Up to 300 sqm,ELM-OLD-S-UND300-1,Number,0,0,1
306,1st Site Clean -,Sek-SC-1,Number,0,1,1
307,1st Site Clean SC- 300-400 SQM,MARKSC-300-400-1,Number,0,1,1
308,1st Site Clean - 300-400 SQM,ONE-300-400-1,Number,0,1,1
309,1st Site Clean - 300-400 SQM,MARK-300-400-1,Number,0,1,1
310,1st Site Clean SC- 400-500 SQM,MARKSC-400-500-1,Number,0,1,1
311,1st Site Clean - 400-500 SQM,MARK-400-500-1,Number,0,1,1
312,1st Site Clean - 500-600 SQM,MARK-500-600-1,Number,0,1,1
313,1st Site Clean - Double Storey,ALL-DBL-1,Number,0,1,1
314,1st Clean - Double Storey,MAST-DBL-1,Number,0,1,1
315,1st Site Clean - Double Storey incl Travel Fee,ALL-DBL-1-SC,Number,0,1,1
316,1st Site Clean - Single Storey,ALL-SING-1,Number,0,1,1
317,1st Site Clean - Single Storey,MAST-SING-1,Number,0,1,1
318,1st Site Clean - Single Storey - SC,MAST-SING-1-SC,Number,0,1,1
319,1st Site Clean - Single Storey inc Travel Fee,ALL-SING-1-SC,Number,0,1,1
320,1st Site Clean - Up to 350 sqm,Sek-1,Number,0,1,1
321,1st Site Clean SC - 500-600 SQM,MARKSC-500-600-1,Number,0,1,1
322,1st Site Clean SC - Under 300 SQM,MARKSC-UND300-1,Number,0,1,1
323,1st Site Clean - Under 300 SQM,MARK-UND300-1,Number,0,1,1
